Rank,Player,REC,Week,Year,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G, FPTS,FPTS/G,ROST,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Mark Andrews,107,18,2021,153,"1,361",12.7,43,27,9,1,0,0,0,17,247.6,14.6,100.0%,903,8.4,903,8.4,458,4.3,187,1.7,4,25.8%,110,3,20,61,20,5,2,0,43
2,Travis Kelce,92,18,2021,134,"1,125",12.2,69,20,9,2,3,1,1,16,216.8,13.6,100.0%,561,6.1,561,6.1,564,6.1,248,2.7,8,21.0%,102,10,16,50,13,4,2,1,69
3,Dalton Schultz,78,18,2021,104,808,10.4,32,8,8,0,0,0,0,17,169.8,10.0,86.8%,460,5.9,460,5.9,348,4.5,109,1.4,3,16.3%,82,4,14,38,6,2,0,0,32
4,George Kittle,71,18,2021,94,910,12.8,48,17,6,3,20,0,1,14,162.5,11.6,98.9%,460,6.5,460,6.5,450,6.3,179,2.5,8,18.8%,76,2,9,38,13,3,1,0,48
5,Zach Ertz,74,18,2021,112,763,10.3,47,9,5,1,4,0,0,17,143.7,8.5,93.8%,423,5.7,423,5.7,340,4.6,74,1.0,2,23.9%,82,6,20,33,7,1,1,0,47
6,Rob Gronkowski,55,18,2021,88,802,14.6,42,20,6,0,0,0,0,12,143.7,12.0,1.7%,452,8.2,452,8.2,350,6.4,147,2.7,9,12.3%,62,5,10,35,16,3,1,0,42
7,Kyle Pitts,68,18,2021,110,"1,026",15.1,61,25,1,0,0,0,0,17,142.6,8.4,98.9%,713,10.5,713,10.5,313,4.6,137,2.0,3,19.9%,77,6,14,41,16,6,2,1,61
8,Dawson Knox,49,18,2021,71,587,12.0,53,14,9,0,4,0,0,15,139.6,9.3,78.8%,310,6.3,310,6.3,277,5.7,63,1.3,3,11.4%,53,4,18,24,8,3,2,1,53
9,Hunter Henry,50,18,2021,75,603,12.1,35,12,9,0,0,0,0,16,139.3,8.7,41.9%,459,9.2,459,9.2,144,2.9,41,0.8,1,14.3%,50,0,17,25,8,4,0,0,35
10,Dallas Goedert,56,18,2021,76,830,14.8,45,18,4,0,0,0,0,15,137.0,9.1,95.6%,444,7.9,444,7.9,386,6.9,101,1.8,9,16.2%,63,5,6,39,14,3,1,0,45
11,Mike Gesicki,73,18,2021,112,780,10.7,40,15,2,0,0,0,0,17,128.5,7.6,39.7%,559,7.7,559,7.7,221,3.0,69,0.9,1,18.7%,79,3,9,29,12,2,1,0,40
12,Noah Fant,68,18,2021,90,670,9.9,35,9,4,0,0,0,0,16,125.0,7.8,22.8%,361,5.3,361,5.3,309,4.5,53,0.8,1,17.4%,71,2,12,25,7,2,0,0,35
13,Pat Freiermuth,60,18,2021,79,497,8.3,24,2,7,0,0,0,1,16,121.7,7.6,89.2%,250,4.2,250,4.2,247,4.1,117,2.0,8,12.1%,62,2,20,21,2,0,0,0,24
14,Tyler Higbee,61,18,2021,85,560,9.2,37,4,5,0,0,0,0,15,116.5,7.8,84.2%,279,4.6,279,4.6,281,4.6,78,1.3,1,14.1%,64,3,18,24,3,1,0,0,37
15,T.J. Hockenson,61,18,2021,84,583,9.6,33,9,4,0,0,0,0,12,114.8,9.6,94.0%,384,6.3,384,6.3,199,3.3,56,0.9,4,14.8%,62,1,9,24,8,1,0,0,33
16,Jared Cook,48,18,2021,83,564,11.8,42,9,4,0,0,0,0,16,108.4,6.8,0.0%,326,6.8,326,6.8,238,5.0,62,1.3,0,12.6%,56,6,13,28,7,1,1,0,42
17,Tyler Conklin,61,18,2021,87,593,9.7,40,7,3,0,0,0,0,17,107.8,6.3,39.6%,266,4.4,266,4.4,327,5.4,63,1.0,0,15.1%,64,3,16,23,4,2,1,0,40
18,Darren Waller,55,18,2021,93,665,12.1,33,15,2,0,0,0,0,11,106.0,9.6,99.8%,423,7.7,423,7.7,242,4.4,80,1.5,3,15.4%,60,5,13,27,13,2,0,0,33
19,C.J. Uzomah,49,18,2021,63,493,10.1,55,13,5,0,0,0,0,16,103.8,6.5,0.8%,193,3.9,193,3.9,300,6.1,108,2.2,5,11.7%,54,4,7,17,7,4,1,1,55
20,Gerald Everett,48,18,2021,63,478,10.0,41,8,4,3,20,0,2,15,93.8,6.3,65.2%,229,4.8,229,4.8,249,5.2,108,2.3,9,13.2%,51,3,8,19,5,2,1,0,41
21,Cole Kmet,60,18,2021,93,612,10.2,25,7,0,1,0,0,0,17,91.2,5.4,39.8%,366,6.1,366,6.1,246,4.1,97,1.6,4,17.7%,67,5,12,31,7,0,0,0,25
22,David Njoku,36,18,2021,53,475,13.2,71,15,4,1,1,0,0,15,89.6,6.0,66.7%,228,6.3,228,6.3,247,6.9,106,2.9,2,10.6%,39,2,8,15,8,4,2,1,71
23,Evan Engram,46,18,2021,73,408,8.9,30,3,3,1,-3,0,1,15,79.5,5.3,24.1%,225,4.9,225,4.9,183,4.0,33,0.7,0,12.9%,53,6,4,16,2,1,0,0,30
24,Austin Hooper,38,18,2021,61,345,9.1,34,5,3,0,0,0,0,15,73.5,4.9,17.2%,160,4.2,160,4.2,185,4.9,35,0.9,1,12.2%,44,6,11,13,4,1,0,0,34
25,Foster Moreau,30,18,2021,44,373,12.4,44,9,3,0,0,0,0,15,70.3,4.7,0.2%,184,6.1,184,6.1,189,6.3,63,2.1,2,7.3%,35,4,5,16,6,2,1,0,44
26,Mo Alie-Cox,24,18,2021,45,316,13.2,37,6,4,0,0,0,0,17,67.6,4.0,3.5%,166,6.9,166,6.9,150,6.3,61,2.5,2,8.9%,26,2,9,12,5,1,0,0,37
27,Jack Doyle,29,18,2021,43,302,10.4,34,4,3,0,0,0,0,15,64.7,4.3,2.0%,177,6.1,177,6.1,125,4.3,14,0.5,0,8.5%,33,4,7,15,3,1,0,0,34
28,Cameron Brate,30,18,2021,57,245,8.2,18,0,4,0,0,0,0,16,63.5,4.0,2.8%,164,5.5,164,5.5,81,2.7,15,0.5,0,8.0%,34,3,20,10,0,0,0,0,18
29,Albert Okwuegbunam,33,18,2021,40,330,10.0,64,6,2,0,0,0,1,14,59.5,4.3,25.4%,85,2.6,85,2.6,245,7.4,65,2.0,3,7.7%,35,2,5,12,3,1,1,1,64
30,Dan Arnold,35,18,2021,52,408,11.7,28,2,0,0,0,0,1,11,58.3,5.3,0.2%,220,6.3,220,6.3,188,5.4,66,1.9,2,9.0%,39,2,4,20,2,0,0,0,28
31,Anthony Firkser,34,18,2021,43,291,8.6,24,1,2,0,0,0,1,15,56.1,3.7,0.0%,180,5.3,180,5.3,111,3.3,28,0.8,0,8.2%,38,3,6,13,1,0,0,0,24
32,Geoff Swaim,31,18,2021,40,210,6.8,26,2,3,0,0,0,0,16,54.5,3.4,0.1%,71,2.3,71,2.3,139,4.5,40,1.3,0,7.7%,33,1,8,5,2,0,0,0,26
33,Ricky Seals-Jones,30,18,2021,49,271,9.0,39,2,2,0,0,0,0,11,54.1,4.9,0.0%,114,3.8,114,3.8,157,5.2,36,1.2,2,9.2%,33,4,12,11,1,1,0,0,39
34,Jonnu Smith,28,18,2021,45,294,10.5,28,5,1,9,40,0,0,16,53.4,3.3,0.9%,62,2.2,62,2.2,232,8.3,80,2.9,2,8.6%,32,4,10,14,5,0,0,0,28
35,Durham Smythe,34,18,2021,41,357,10.5,25,5,0,2,3,0,0,16,53.0,3.3,0.1%,197,5.8,197,5.8,160,4.7,38,1.1,0,6.9%,35,1,7,15,5,0,0,0,25
36,Harrison Bryant,21,18,2021,28,233,11.1,41,6,3,0,0,0,0,15,51.8,3.5,0.2%,154,7.3,154,7.3,79,3.8,21,1.0,0,5.6%,22,1,6,8,4,1,1,0,41
37,Ryan Griffin,27,18,2021,42,261,9.7,29,4,2,0,0,0,0,14,51.6,3.7,0.1%,112,4.1,112,4.1,149,5.5,23,0.9,0,7.2%,30,3,6,10,4,0,0,0,29
38,Hayden Hurst,26,18,2021,31,221,8.5,33,2,3,0,0,0,1,12,51.1,4.3,21.3%,132,5.1,132,5.1,89,3.4,13,0.5,2,5.6%,27,0,7,8,1,1,0,0,33
39,Adam Trautman,27,18,2021,43,263,9.7,32,3,2,0,0,0,1,11,49.8,4.5,0.2%,152,5.6,152,5.6,111,4.1,22,0.8,0,9.1%,33,4,8,10,2,1,0,0,32
40,Josiah Deguara,25,18,2021,33,245,9.8,62,6,2,0,0,0,0,14,49.0,3.5,0.1%,41,1.6,41,1.6,204,8.2,90,3.6,1,5.8%,27,2,7,8,3,1,1,1,62
41,Donald Parham Jr.,20,18,2021,27,190,9.5,22,1,3,0,0,0,0,14,49.0,3.5,0.2%,55,2.8,55,2.8,135,6.8,38,1.9,2,4.1%,25,2,6,10,1,0,0,0,22
42,Kyle Rudolph,26,18,2021,39,257,9.9,60,6,1,0,0,0,0,15,46.7,3.1,1.3%,120,4.6,120,4.6,137,5.3,40,1.5,1,6.9%,26,0,8,8,3,1,1,1,60
43,Juwan Johnson,13,18,2021,22,159,12.2,27,3,4,0,0,0,0,13,46.4,3.6,1.3%,117,9.0,117,9.0,42,3.2,11,0.8,0,4.6%,14,1,7,7,3,0,0,0,27
44,Brevin Jordan,20,18,2021,28,178,8.9,27,2,3,0,0,0,0,8,45.8,5.7,1.1%,79,4.0,79,4.0,99,5.0,21,1.1,1,5.4%,21,1,4,7,2,0,0,0,27
45,Logan Thomas,18,18,2021,25,196,10.9,35,3,3,0,0,0,1,5,44.6,8.9,28.9%,114,6.3,114,6.3,82,4.6,25,1.4,1,4.7%,18,0,5,9,2,1,0,0,35
46,Jimmy Graham,14,18,2021,23,167,11.9,28,2,3,0,0,0,0,11,43.7,4.0,0.0%,112,8.0,112,8.0,55,3.9,17,1.2,0,4.4%,15,1,8,9,2,0,0,0,28
47,Tommy Tremble,20,18,2021,35,180,9.0,30,2,1,3,11,1,0,15,43.1,2.9,0.5%,110,5.5,110,5.5,70,3.5,26,1.3,0,6.0%,23,2,4,6,1,1,0,0,30
48,MyCole Pruitt,14,18,2021,19,145,10.4,22,2,3,0,0,0,0,13,41.5,3.2,0.0%,86,6.1,86,6.1,59,4.2,4,0.3,0,3.6%,15,0,6,7,2,0,0,0,22
49,Robert Tonyan,18,18,2021,29,204,11.3,33,5,2,0,0,0,0,8,41.4,5.2,26.2%,94,5.2,94,5.2,110,6.1,21,1.2,0,5.1%,19,1,4,8,4,1,0,0,33
50,John Bates,20,18,2021,25,249,12.5,32,5,1,0,0,0,0,13,40.9,3.1,0.1%,110,5.5,110,5.5,139,7.0,41,2.1,2,4.7%,20,0,2,11,4,1,0,0,32
51,Will Dissly,21,18,2021,26,231,11.0,39,6,1,0,0,0,0,13,39.6,3.0,2.3%,88,4.2,88,4.2,143,6.8,42,2.0,2,5.5%,23,3,3,8,5,1,0,0,39
52,James O'Shaughnessy,24,18,2021,34,244,10.2,30,6,0,0,0,0,0,7,38.4,5.5,0.0%,130,5.4,130,5.4,114,4.8,22,0.9,2,5.8%,28,3,0,8,5,1,0,0,30
53,Maxx Williams,16,18,2021,17,193,12.1,34,4,1,0,0,0,0,5,33.3,6.7,0.1%,68,4.3,68,4.3,125,7.8,51,3.2,1,3.0%,16,0,1,7,3,1,0,0,34
54,Marcedes Lewis,23,18,2021,28,214,9.3,23,3,0,0,0,0,0,13,32.9,2.5,0.1%,70,3.0,70,3.0,144,6.3,70,3.0,5,4.9%,23,0,7,10,3,0,0,0,23
55,Tyler Kroft,16,18,2021,25,173,10.8,26,3,1,0,0,0,0,9,31.3,3.5,0.1%,99,6.2,99,6.2,74,4.6,36,2.3,1,4.3%,20,4,2,8,3,0,0,0,26
56,Stephen Anderson,16,18,2021,19,165,10.3,34,4,1,0,0,0,0,14,30.5,2.2,0.0%,50,2.9,50,2.9,129,7.6,15,0.9,0,2.9%,17,0,1,8,3,1,0,0,34
57,Jordan Akins,24,18,2021,33,214,8.9,31,2,0,1,3,0,2,12,29.7,2.5,0.0%,133,5.5,133,5.5,81,3.4,32,1.3,1,6.3%,27,2,5,8,1,1,0,0,31
58,Brock Wright,12,18,2021,17,117,9.8,36,3,2,0,0,0,0,8,29.7,3.7,0.0%,53,4.4,53,4.4,64,5.3,6,0.5,0,3.0%,14,1,1,5,2,1,0,0,36
59,Ian Thomas,18,18,2021,30,188,10.4,41,5,0,0,0,0,0,14,27.8,2.0,0.1%,96,5.3,96,5.3,92,5.1,20,1.1,1,5.2%,23,4,3,6,3,1,1,0,41
60,Blake Jarwin,11,18,2021,17,96,8.7,20,1,2,0,0,0,0,8,27.1,3.4,4.0%,58,5.3,58,5.3,38,3.5,17,1.5,0,2.7%,11,0,6,3,1,0,0,0,20
61,Pharaoh Brown,23,18,2021,34,171,7.4,29,2,0,0,0,0,1,13,26.6,2.0,0.1%,65,2.8,65,2.8,106,4.6,49,2.1,2,6.5%,24,1,0,5,2,0,0,0,29
62,O.J. Howard,14,18,2021,21,135,9.6,21,1,1,0,0,0,0,11,26.5,2.4,2.3%,52,3.7,52,3.7,83,5.9,37,2.6,1,2.9%,14,0,2,7,1,0,0,0,21
63,Eric Ebron,12,18,2021,18,84,7.0,19,0,1,1,1,1,0,8,26.5,3.3,0.0%,63,5.3,63,5.3,21,1.8,4,0.3,0,2.8%,13,1,3,2,0,0,0,0,19
64,Zach Gentry,19,18,2021,25,167,8.8,25,2,0,0,0,0,0,10,26.2,2.6,0.1%,39,2.1,39,2.1,128,6.7,33,1.7,1,3.8%,19,0,5,10,2,0,0,0,25
65,Nick Vannett,9,18,2021,15,133,14.8,30,3,1,0,0,0,0,7,23.8,3.4,0.0%,41,4.6,41,4.6,92,10.2,21,2.3,1,3.2%,12,3,2,7,2,1,0,0,30
66,Lee Smith,9,18,2021,11,65,7.2,22,1,1,0,0,0,0,10,17.0,1.7,0.0%,34,3.8,34,3.8,31,3.4,8,0.9,0,2.0%,9,0,2,2,1,0,0,0,22
67,Adam Shaheen,12,18,2021,16,110,9.2,21,1,0,0,0,0,0,9,17.0,1.9,0.0%,69,5.8,69,5.8,41,3.4,17,1.4,1,2.7%,14,2,4,5,1,0,0,0,21
68,Kylen Granson,11,18,2021,15,106,9.6,27,1,0,0,0,0,0,10,16.1,1.6,0.2%,30,2.7,30,2.7,76,6.9,20,1.8,0,3.0%,11,0,4,4,1,0,0,0,27
69,Chris Manhertz,6,18,2021,9,71,11.8,22,1,1,0,0,0,0,10,16.1,1.6,0.0%,45,7.5,45,7.5,26,4.3,5,0.8,0,1.5%,6,0,0,4,1,0,0,0,22
70,Jacob Hollister,9,18,2021,14,55,6.1,11,0,1,0,0,0,0,7,16.0,2.3,0.0%,27,3.0,27,3.0,28,3.1,12,1.3,0,2.4%,10,1,4,1,0,0,0,0,11
71,Jesse James,7,18,2021,8,62,8.9,19,0,1,0,0,0,0,5,15.7,3.1,0.0%,44,6.3,44,6.3,18,2.6,9,1.3,0,1.5%,7,0,2,2,0,0,0,0,19
73,Tommy Sweeney,9,18,2021,12,44,4.9,13,0,1,0,0,0,0,7,14.9,2.1,0.1%,30,3.3,30,3.3,14,1.6,3,0.3,0,1.9%,10,1,1,2,0,0,0,0,13
74,Eric Saubert,8,18,2021,12,47,5.9,11,0,1,0,0,0,0,10,14.7,1.5,0.0%,18,2.3,18,2.3,29,3.6,4,0.5,2,2.3%,9,1,1,1,0,0,0,0,11
75,Blake Bell,9,18,2021,13,87,9.7,24,2,0,4,10,0,0,12,14.2,1.2,0.0%,20,2.2,20,2.2,67,7.4,13,1.4,0,2.0%,10,1,1,3,2,0,0,0,24
76,Drew Sample,11,18,2021,15,81,7.4,19,0,0,0,0,0,0,10,13.6,1.4,0.1%,-1,-0.1,-1,-0.1,82,7.5,11,1.0,2,2.8%,13,1,0,3,0,0,0,0,19
77,Antony Auclair,5,18,2021,5,47,9.4,15,0,1,0,0,0,0,4,13.2,3.3,0.0%,22,4.4,22,4.4,25,5.0,11,2.2,1,1.0%,5,0,2,2,0,0,0,0,15
78,Noah Gray,7,18,2021,10,36,5.1,8,0,1,0,0,0,0,7,13.1,1.9,0.1%,18,2.6,18,2.6,18,2.6,5,0.7,0,1.6%,8,1,5,0,0,0,0,0,8
79,Ross Dwelley,4,18,2021,5,51,12.8,21,1,1,0,0,0,0,4,13.1,3.3,0.1%,46,11.5,46,11.5,5,1.3,1,0.3,0,1.0%,4,0,0,3,1,0,0,0,21
80,Chris Herndon IV,4,18,2021,7,40,10.0,17,0,1,0,0,0,0,6,12.0,2.0,0.0%,9,2.3,9,2.3,31,7.8,4,1.0,0,1.2%,6,2,1,2,0,0,0,0,17
81,Josh Oliver,9,18,2021,15,66,7.3,19,0,0,0,0,0,0,11,11.1,1.0,0.0%,41,4.6,41,4.6,25,2.8,7,0.8,0,2.5%,10,0,2,2,0,0,0,0,19
82,Sean McKeon,4,18,2021,6,27,6.8,12,0,1,0,0,0,0,5,10.7,2.1,0.0%,17,4.3,17,4.3,10,2.5,3,0.8,1,0.9%,4,0,1,2,0,0,0,0,12
83,Tyree Jackson,3,18,2021,7,22,7.3,13,0,1,0,0,0,0,3,9.7,3.2,0.0%,15,5.0,15,5.0,7,2.3,0,0.0,0,1.5%,5,0,1,1,0,0,0,0,13
84,Chris Myarick,3,18,2021,6,17,5.7,10,0,1,0,0,0,0,5,9.2,1.8,0.0%,9,3.0,9,3.0,8,2.7,0,0.0,0,1.1%,5,2,1,1,0,0,0,0,10
85,Luke Farrell,7,18,2021,11,56,8.0,21,1,0,0,0,0,0,9,9.1,1.0,0.0%,28,4.0,28,4.0,28,4.0,15,2.1,0,1.9%,8,1,1,2,1,0,0,0,21
86,Charlie Woerner,5,18,2021,6,52,10.4,27,1,0,0,0,0,0,8,7.7,1.0,0.0%,43,8.6,43,8.6,9,1.8,0,0.0,0,1.2%,6,0,0,2,1,0,0,0,27
87,Tre' McKitty,6,18,2021,8,45,7.5,12,0,0,0,0,0,0,6,7.5,1.3,0.1%,11,1.8,11,1.8,34,5.7,6,1.0,0,1.2%,6,0,1,1,0,0,0,0,12
88,Parker Hesse,5,18,2021,6,43,8.6,17,0,0,0,0,0,0,4,6.8,1.7,0.0%,22,4.4,22,4.4,21,4.2,7,1.4,0,1.1%,5,0,0,2,0,0,0,0,17
89,Darren Fells,4,18,2021,5,43,10.8,24,1,0,0,0,0,0,3,6.3,2.1,0.0%,16,4.0,16,4.0,27,6.8,1,0.3,0,1.0%,4,0,0,2,1,0,0,0,24
90,Garrett Griffin,4,18,2021,4,39,9.8,14,0,0,0,0,0,0,5,5.9,1.2,0.0%,12,3.0,12,3.0,27,6.8,12,3.0,0,0.8%,4,0,0,2,0,0,0,0,14
91,Colby Parkinson,5,18,2021,8,33,6.6,12,0,0,0,0,0,0,6,5.8,1.0,0.1%,13,2.6,13,2.6,20,4.0,9,1.8,0,1.7%,5,0,2,2,0,0,0,0,12
92,Kendall Blanton,4,18,2021,7,37,9.3,23,1,0,0,0,0,0,4,5.7,1.4,0.0%,24,6.0,24,6.0,13,3.3,1,0.3,0,1.2%,6,2,2,1,1,0,0,0,23
93,Tyler Davis,4,18,2021,5,35,8.8,22,1,0,0,0,0,0,8,5.5,0.7,0.0%,22,5.5,22,5.5,13,3.3,5,1.3,0,0.9%,5,1,2,1,1,0,0,0,22
94,Trevon Wesco,3,18,2021,5,35,11.7,19,0,0,0,0,0,0,8,5.0,0.6,0.0%,6,2.0,6,2.0,29,9.7,8,2.7,0,0.9%,3,0,0,2,0,0,0,0,19
95,Shane Zylstra,3,18,2021,7,34,11.3,16,0,0,0,0,0,0,3,4.9,1.6,0.0%,28,9.3,28,9.3,6,2.0,0,0.0,0,1.2%,4,0,2,2,0,0,0,0,16
96,Kaden Smith,3,18,2021,3,33,11.0,21,1,0,0,0,0,0,4,4.8,1.2,0.0%,22,7.3,22,7.3,11,3.7,1,0.3,0,0.5%,3,0,0,1,1,0,0,0,21
98,Jeremy Sprinkle,3,18,2021,3,31,10.3,11,0,0,0,0,0,0,6,4.6,0.8,0.0%,12,4.0,12,4.0,19,6.3,8,2.7,0,0.5%,3,0,2,3,0,0,0,0,11
99,Tommy Hudson,3,18,2021,6,31,10.3,14,0,0,0,0,0,0,4,4.6,1.2,0.0%,7,2.3,7,2.3,24,8.0,0,0.0,0,1.1%,3,0,1,2,0,0,0,0,14
100,Dominique Dafney,2,18,2021,4,34,17.0,26,1,0,0,0,0,0,6,4.4,0.7,0.0%,3,1.5,3,1.5,31,15.5,1,0.5,0,0.7%,2,0,0,1,1,0,0,0,26
101,Jack Stoll,4,18,2021,5,22,5.5,9,0,0,0,0,0,0,6,4.2,0.7,0.0%,2,0.5,2,0.5,20,5.0,6,1.5,0,1.1%,4,0,2,0,0,0,0,0,9
103,Mitchell Wilcox,3,18,2021,5,16,5.3,8,0,0,0,0,0,0,4,3.1,0.8,0.0%,8,2.7,8,2.7,8,2.7,2,0.7,1,0.9%,4,1,0,0,0,0,0,0,8
105,Demetrius Harris,3,18,2021,6,10,3.3,7,0,0,0,0,0,0,10,2.5,0.3,0.0%,-3,-1.0,-3,-1.0,13,4.3,3,1.0,0,1.1%,3,0,1,0,0,0,0,0,7
116,Darrell Daniels,1,18,2021,4,0,0.0,0,0,0,0,0,0,0,10,0.5,0.1,0.0%,-1,-1.0,-1,-1.0,1,1.0,0,0.0,0,0.7%,3,1,1,0,0,0,0,0,0
1,Mark Andrews,99,17,2021,138,"1,276",12.9,43,26,9,0,0,0,0,16,235.1,14.7,100.0%,852,8.6,852,8.6,424,4.3,176,1.8,4,24.6%,102,3,19,57,19,5,2,0,43
2,Travis Kelce,88,17,2021,129,"1,091",12.4,69,20,8,2,3,1,1,15,205.4,13.7,100.0%,537,6.1,537,6.1,554,6.3,245,2.8,8,21.7%,98,10,14,48,13,4,2,1,69
3,George Kittle,66,17,2021,87,900,13.6,48,17,6,3,20,0,1,13,159.0,12.2,98.9%,458,6.9,458,6.9,442,6.7,176,2.7,8,18.6%,71,2,8,38,13,3,1,0,48
4,Dalton Schultz,75,17,2021,101,787,10.5,32,8,6,0,0,0,0,16,154.2,9.6,86.8%,440,5.9,440,5.9,347,4.6,109,1.5,3,16.6%,79,4,12,37,6,2,0,0,32
5,Kyle Pitts,66,17,2021,105,"1,018",15.4,61,25,1,0,0,0,0,16,140.8,8.8,98.9%,710,10.8,710,10.8,308,4.7,135,2.0,3,20.1%,74,5,13,41,16,6,2,1,61
6,Dallas Goedert,56,17,2021,76,830,14.8,45,18,4,0,0,0,0,15,137.0,9.1,95.6%,444,7.9,444,7.9,386,6.9,101,1.8,9,17.5%,63,5,6,39,14,3,1,0,45
7,Dawson Knox,46,17,2021,66,538,11.7,53,13,9,0,0,0,0,14,132.8,9.5,78.8%,291,6.3,291,6.3,247,5.4,57,1.2,3,11.4%,50,4,17,22,7,3,2,1,53
8,Zach Ertz,67,17,2021,102,679,10.1,47,9,5,1,4,0,0,16,131.8,8.2,93.8%,359,5.4,359,5.4,320,4.8,74,1.1,2,23.5%,75,6,17,28,7,1,1,0,47
9,Hunter Henry,45,17,2021,69,517,11.5,33,8,9,0,0,0,0,15,128.2,8.5,41.9%,383,8.5,383,8.5,134,3.0,41,0.9,1,14.0%,45,0,17,23,6,2,0,0,33
10,Rob Gronkowski,48,17,2021,78,665,13.9,35,15,6,0,0,0,0,11,126.5,11.5,1.7%,377,7.9,377,7.9,288,6.0,118,2.5,6,11.5%,55,5,10,30,13,2,0,0,35
11,Mike Gesicki,71,17,2021,109,758,10.7,40,15,2,0,0,0,0,16,125.3,7.8,39.7%,544,7.7,544,7.7,214,3.0,67,0.9,1,18.9%,76,3,9,28,12,2,1,0,40
12,Noah Fant,67,17,2021,88,654,9.8,35,9,4,0,0,0,0,15,122.9,8.2,22.8%,346,5.2,346,5.2,308,4.6,53,0.8,1,17.8%,70,2,11,24,7,2,0,0,35
13,T.J. Hockenson,61,17,2021,84,583,9.6,33,9,4,0,0,0,0,12,114.8,9.6,94.0%,384,6.3,384,6.3,199,3.3,56,0.9,4,15.6%,62,1,9,24,8,1,0,0,33
14,Pat Freiermuth,54,17,2021,70,444,8.2,24,2,7,0,0,0,1,15,113.4,7.6,89.2%,223,4.1,223,4.1,221,4.1,100,1.9,6,11.5%,56,2,18,18,2,0,0,0,24
15,Tyler Conklin,59,17,2021,83,587,9.9,40,7,3,0,0,0,0,16,106.2,6.6,39.6%,272,4.6,272,4.6,315,5.3,58,1.0,0,14.9%,61,2,16,23,4,2,1,0,40
16,C.J. Uzomah,49,17,2021,63,493,10.1,55,13,5,0,0,0,0,16,103.8,6.5,0.8%,193,3.9,193,3.9,300,6.1,108,2.2,5,12.3%,54,4,7,17,7,4,1,1,55
17,Darren Waller,53,17,2021,84,643,12.1,33,15,2,0,0,0,0,10,102.8,10.3,99.8%,418,7.9,418,7.9,225,4.2,72,1.4,3,14.7%,57,4,11,26,13,2,0,0,33
18,Jared Cook,44,17,2021,76,484,11.0,29,6,4,0,0,0,0,15,98.4,6.6,0.0%,270,6.1,270,6.1,214,4.9,58,1.3,0,12.8%,52,6,12,25,6,0,0,0,29
19,Tyler Higbee,55,17,2021,77,505,9.2,37,4,3,0,0,0,0,14,96.0,6.9,84.2%,237,4.3,237,4.3,268,4.9,72,1.3,1,13.5%,58,3,16,22,3,1,0,0,37
20,Gerald Everett,47,17,2021,60,458,9.7,41,7,4,3,20,0,2,14,91.3,6.5,65.2%,221,4.7,221,4.7,237,5.0,98,2.1,8,13.3%,49,2,7,18,4,2,1,0,41
21,David Njoku,34,17,2021,51,464,13.6,71,15,4,1,1,0,0,14,87.5,6.3,66.7%,219,6.4,219,6.4,245,7.2,106,3.1,2,10.7%,37,2,8,15,8,4,2,1,71
22,Cole Kmet,56,17,2021,88,564,10.1,25,6,0,1,0,0,0,16,84.4,5.3,39.8%,337,6.0,337,6.0,227,4.1,88,1.6,4,18.4%,63,5,12,29,6,0,0,0,25
23,Evan Engram,45,17,2021,68,404,9.0,30,3,3,1,-3,0,1,14,78.6,5.6,24.1%,223,5.0,223,5.0,181,4.0,32,0.7,0,12.7%,51,5,4,16,2,1,0,0,30
24,Austin Hooper,38,17,2021,61,345,9.1,34,5,3,0,0,0,0,15,73.5,4.9,17.2%,160,4.2,160,4.2,185,4.9,35,0.9,1,12.8%,44,6,11,13,4,1,0,0,34
25,Foster Moreau,28,17,2021,42,323,11.5,34,6,3,0,0,0,0,14,64.3,4.6,0.2%,176,6.3,176,6.3,147,5.3,63,2.3,2,7.3%,33,4,5,15,5,1,0,0,34
26,Mo Alie-Cox,22,17,2021,42,289,13.1,37,6,4,0,0,0,0,16,63.9,4.0,3.5%,147,6.7,147,6.7,142,6.5,56,2.5,2,8.8%,24,2,9,11,5,1,0,0,37
27,Jack Doyle,28,17,2021,41,291,10.4,34,4,3,0,0,0,0,14,63.1,4.5,2.0%,178,6.4,178,6.4,113,4.0,12,0.4,0,8.6%,32,4,7,14,3,1,0,0,34
28,Cameron Brate,28,17,2021,54,233,8.3,18,0,4,0,0,0,0,15,61.3,4.1,2.8%,157,5.6,157,5.6,76,2.7,13,0.5,0,8.0%,31,2,20,10,0,0,0,0,18
29,Albert Okwuegbunam,33,17,2021,40,330,10.0,64,6,2,0,0,0,1,13,59.5,4.6,25.4%,85,2.6,85,2.6,245,7.4,65,2.0,3,8.1%,35,2,5,12,3,1,1,1,64
30,Dan Arnold,35,17,2021,52,408,11.7,28,2,0,0,0,0,1,11,58.3,5.3,0.2%,220,6.3,220,6.3,188,5.4,66,1.9,2,9.7%,39,2,4,20,2,0,0,0,28
31,Ricky Seals-Jones,30,17,2021,49,271,9.0,39,2,2,0,0,0,0,11,54.1,4.9,0.0%,114,3.8,114,3.8,157,5.2,36,1.2,2,9.5%,33,4,12,11,1,1,0,0,39
