Rank,Player,REC,Week,Year,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G, FPTS,FPTS/G,ROST,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
40,Ladarius Green,13,14,2016,26,232,17.8,37,5,1,0,0,0,0,5,35.7,7.1,0.0%,151,11.6,151,11.6,81,6.2,32,2.5,2,5.3%,27,1,2,9,5,4,0,0,37
41,Marcedes Lewis,20,14,2016,30,169,8.5,37,1,1,0,0,0,0,10,32.9,3.3,0.1%,63,3.2,63,3.2,106,5.3,55,2.8,1,5.8%,41,0,2,7,1,1,0,0,37
42,Jared Cook,17,14,2016,30,199,11.7,47,2,1,0,0,0,1,7,32.4,4.6,0.0%,110,6.5,110,6.5,89,5.2,23,1.4,0,5.9%,35,3,2,8,2,1,1,0,47
43,Mychal Rivera,15,14,2016,20,168,11.2,27,3,1,0,0,0,0,10,30.3,3.0,0.2%,121,8.1,121,8.1,47,3.1,13,0.9,0,4.0%,31,2,2,7,3,0,0,0,27
44,Virgil Green,18,14,2016,31,211,11.7,31,2,0,0,0,0,0,10,30.1,3.0,0.0%,119,6.6,119,6.6,92,5.1,34,1.9,0,6.9%,37,3,1,10,2,1,0,0,31
45,Josh Hill,15,14,2016,22,149,9.9,35,3,1,0,0,0,0,9,28.4,3.2,0.0%,72,4.8,72,4.8,77,5.1,15,1.0,1,4.1%,30,2,3,4,3,2,0,0,35
46,C.J. Uzomah,17,14,2016,29,193,11.4,54,2,0,0,0,0,0,8,27.8,3.5,0.8%,115,6.8,115,6.8,78,4.6,42,2.5,1,6.4%,39,4,1,6,2,1,1,1,54
47,Austin Seferian-Jenkins,11,14,2016,16,134,12.2,30,1,1,0,0,0,0,7,24.9,3.6,0.0%,109,9.9,109,9.9,25,2.3,12,1.1,1,3.4%,24,2,0,5,1,1,0,0,30
48,Erik Swoope,10,14,2016,17,180,18.0,35,3,0,0,0,0,0,13,23.0,1.8,0.0%,92,9.2,92,9.2,88,8.8,9,0.9,0,3.6%,20,2,0,7,3,3,0,0,35
49,Anthony Fasano,7,14,2016,13,71,10.1,17,0,2,0,0,0,0,13,22.6,1.7,0.1%,40,5.7,40,5.7,31,4.4,12,1.7,0,3.3%,15,1,2,4,0,0,0,0,17
50,Darren Waller,8,14,2016,12,63,7.9,15,0,2,0,0,0,0,9,22.3,2.5,99.8%,38,4.8,38,4.8,25,3.1,9,1.1,0,2.2%,17,2,3,2,0,0,0,0,15
51,Jerell Adams,12,14,2016,16,95,7.9,14,0,1,0,0,0,0,11,21.5,2.0,0.0%,42,3.5,42,3.5,53,4.4,11,0.9,0,3.3%,25,0,1,5,0,0,0,0,14
52,Ed Dickson,9,14,2016,16,106,11.8,26,2,1,0,0,0,0,13,21.1,1.6,0.0%,66,7.3,66,7.3,40,4.4,12,1.3,1,3.6%,18,3,2,4,2,0,0,0,26
53,Xavier Grimble,10,14,2016,19,98,9.8,20,1,1,0,0,0,0,10,20.8,2.1,0.0%,60,6.0,60,6.0,38,3.8,4,0.4,1,3.9%,21,3,1,5,1,0,0,0,20
54,Larry Donnell,15,14,2016,22,92,6.1,15,0,1,0,0,0,1,11,20.7,1.9,0.0%,51,3.4,51,3.4,41,2.7,10,0.7,0,4.6%,32,3,2,3,0,0,0,0,15
55,Stephen Anderson,10,14,2016,12,86,8.6,14,0,1,0,0,0,0,10,19.6,2.0,0.0%,50,5.0,50,5.0,36,3.6,12,1.2,0,2.6%,21,1,1,3,0,0,0,0,14
56,Daniel Brown,11,14,2016,12,79,7.2,11,0,1,0,0,0,0,5,19.4,3.9,0.0%,49,4.5,49,4.5,30,2.7,12,1.1,0,2.7%,19,0,3,1,0,0,0,0,11
57,Ben Koyack,13,14,2016,16,122,9.4,17,0,0,0,0,0,0,11,18.7,1.7,0.0%,85,6.5,85,6.5,37,2.8,5,0.4,0,3.1%,26,0,0,5,0,0,0,0,17
58,Seth DeValve,7,14,2016,9,88,12.6,25,2,1,0,0,0,0,9,18.3,2.0,0.0%,53,7.6,53,7.6,35,5.0,10,1.4,1,1.9%,14,0,1,4,2,0,0,0,25
59,Nick O'Leary,9,14,2016,13,114,12.7,28,2,0,0,0,0,0,13,17.9,1.4,0.0%,71,7.9,71,7.9,43,4.8,14,1.6,1,3.6%,18,1,1,5,2,0,0,0,28
60,MarQueis Gray,10,14,2016,13,126,12.6,53,1,0,0,0,0,0,13,17.6,1.4,0.0%,71,7.1,71,7.1,55,5.5,17,1.7,0,3.4%,21,1,1,2,1,1,1,1,53
61,Crockett Gillmore,8,14,2016,14,71,8.9,22,1,1,0,0,0,0,7,17.1,2.4,0.0%,38,4.8,38,4.8,33,4.1,14,1.8,1,2.6%,17,2,2,3,1,0,0,0,22
62,A.J. Derby,12,14,2016,14,125,10.4,17,0,0,0,0,0,1,9,16.5,1.8,0.0%,91,7.6,91,7.6,34,2.8,16,1.3,0,3.1%,26,0,0,8,0,0,0,0,17
63,Darren Fells,12,14,2016,15,104,8.7,22,1,0,0,0,0,0,11,16.4,1.5,0.0%,39,3.3,39,3.3,65,5.4,33,2.8,3,2.8%,24,1,2,3,1,0,0,0,22
64,Rhett Ellison,9,14,2016,13,57,6.3,21,1,0,1,1,1,0,12,16.3,1.4,0.0%,23,2.6,23,2.6,34,3.8,8,0.9,0,2.8%,17,0,1,2,1,0,0,0,21
65,Demetrius Harris,11,14,2016,21,86,7.8,13,0,0,0,0,0,0,13,16.1,1.2,0.0%,58,5.3,58,5.3,28,2.5,26,2.4,2,4.7%,27,5,1,5,0,0,0,0,13
